domain,nb
univ-cotedazur.fr,24
zinatnesvaloda.lv,24
creatingourfuture.ie,24
gis.seai.ie,24
data.overheid.nl,24
gitlab.huma-num.fr,24
data.world,24
ub.unibas.ch,24
panexplorer.southgreen.fr,24
pa.journal.kspu.edu,24
dspace.ksaeu.kherson.ua,24
www.ices.dk,24
www.bioconductor.org,24
valoff.ie,24
www.biodiversity.aq,24
cpanel.glosendas.net,24
transacl.org,24
geoportal.regione.liguria.it,24
parc-portal.org,24
1wugnu.com,24
bindani.izt.uam.mx,24
greek-lod.auth.gr,24
participatory-archives.ch,24
www.unfalldaten.ch,24
www.mfa.ethz.ch,24
tagc.univ-amu.fr,24
epd.expasy.org,24
hu.berlin,24
gbr01.safelinks.protection.outlook.com,24
www.meath.ie,24
iepazisimies.rta.lv,24
birdieapp.sanbi.org.za,24
co.ifremer.fr,24
ifb-elixirfr.gitlab.io,24
asparaginasedb.com,24
ifcb-data.whoi.edu,24
www.cbioportal.org,24
www.cessda.eu,24
www.map.geo.fr.ch,24
csh.nfdi4health.de,24
oar.ptb.de,24
www.pombase.org,24
xzbai.buaa.edu.cn,24
proza.lnb.lv,24
ares.unasus.gov.br,24
www.sfi.ie,24
dataverse.mirri.org:8080,24
whispers.usgs.gov,24
wiki.cancerimagingarchive.net,24
dataverse.rsu.lv,24
youtube.com,24
www.babs.admin.ch,24
waqf.pages.dev,24
hydatakatalogi-test-24.it.helsinki.fi,24
commons.wikimedia.org,24
commons.datacite.org,24
humma.lv,24
www.seai.ie,24
hydrologischeratlas.ch,24
iatistandard.org,24
biosig.lab.uq.edu.au,24
opendap.co-ops.nos.noaa.gov,24
www.geonorge.no,24
supwma.github.io,24
codebase.helmholtz.cloud,24
cocodataset.org,24
data.gov.ie,24
zasobynauki.pl,24
swissorthology.ch,24
www.casdc.cn,24
support.10xgenomics.com,24
www.biomedcentral.com,23
www.modernlanguagesopen.org,23
www.cmlab.csie.ntu.edu.tw,23
rdcu.be,23
research.fb.com,23
portal.aurin.org.au,23
www.ajgreenchem.com,23
www.thieme-connect.com,23
data.indores.fr,23
www.datagrandest.fr,23
archives.ismir.net,23
blue-cloud.d4science.org,23
data.ccca.ac.at,23
odre.opendatasoft.com,23
blog.vietai.org,23
bridgedb.github.io,23
www.microsoft.com,23
www.cv-foundation.org,23
www.dabi.temple.edu,23
apsjournals.apsnet.org,23
www.ndss-symposium.org,23
dev.nmrxiv.org,23
aran.library.nuigalway.ie,23
pengxi.me,23
data.agroportal.lirmm.fr,23
www.bmvc2021-virtualconference.com,23
www.bmvc2020-conference.com,23
arcadados.fiocruz.br,23
ncblair.github.io,23
asmedigitalcollection.asme.org,23
pdf.sciencedirectassets.com,23
bio2byte.be,23
publikationen.bibliothek.kit.edu,23
openai.com,23
www.stat.ucla.edu,23
ir.soken.ac.jp,23
www.isca-speech.org,23
indjst.org,23
injoit.org,23
www.semantic-web-journal.net,23
www.flymine.org,23
www.jstor.org,23
snd.gu.se,23
cic.unb.br,23
journal.iberamia.org,23
www.robots.ox.ac.uk,23
journalofcloudcomputing.springeropen.com,23
cvssp.org,23
shaohua0116.github.io,23
sfbi.fr,23
ai.google,23
ceba.uca.fr,23
www.npu-aslp.org,23
kth.diva-portal.org,23
ylongqi.com,23
ietresearch.onlinelibrary.wiley.com,23
sciendo.com,23
hal-normandie-univ.archives-ouvertes.fr,23
www.ijimai.org,23
tsukuba.repo.nii.ac.jp,23
gnps.ucsd.edu,23
grani.org.ua,23
videoprocessing.ai,23
www.hbs.edu,23
www.pafmj.org,23
viralzone.expasy.org,23
hal.laas.fr,23
watermark.silverchair.com,23
vjs.ac.vn,23
talhassner.github.io,23
www.pangaea.de,23
wangywust.github.io,23
svn.aksw.org,23
